Source,Target,Weights
kom,b,1
kom,a,1
ila,t,1
komp,i,1
komp,a,1
brosz,a,1
brosz,k,1
rosz,a,1
rosz,k,1
sza,s,1
sza,sta,1
sza,ta,1
pyta,ć,1
pyt,o,1
ir,g,1
ir,m,1
najeb,k,1
najeb,a,1
aje,b,1
aje,f,1
aje,c,1
ajeb,k,1
jad,o,1
odzie,ł,1
odzie,l,1
odzie,n,1
dzie,tny,1
dzie,ć,1
odzi,nny,1
odzi,a,1
odzi,n,1
ieł,o,1
niczy,n,1
czo,t,1
czo,z,1
oczow,n,1
ownic,a,1
ocz,n,1
ocz,owy,1
plik,a,1
ep,ik,1
ep,r,1
ep,i,1
ep,a,1
eplik,a,1
lik,i,1
lika,t,1
lika,r,1
lika,o,1
nap,r,1
ete,r,1
bud,y,1
bud,z,1
udy,n,1
udy,t,1
bot,nik,1
bot,o,1
bot,a,1
rob,r,1
rob,ni,1
rob,n,1
rob,u,1
rob,a,1
kładni,a,1
kładni,c,1
ład,ać,1
ład,o,1
marzy,c,1
mar,ch,1
mar,t,1
mar,i,1
cie,pli,1
cie,czka,1
cie,ni,1
szla,c,1
szla,f,1
szla,m,1
lacha,r,1
achar,o,1
achar,y,1
łom,a,1
łom,n,1
łom,ny,1
aryn,ka,1
dodat,e,1
dodat,k,1
dod,a,1
dod,e,1
dod,ek,1
doda,t,1
doda,w,1
doda,ć,1
af,a,1
af,ro,1
af,iczny,1
af,g,1
af,l,1
mrów,n,1
trwa,ć,1
trwa,ł,1
ela,s,1
ela,b,1
ela,n,1
powt,a,1
powt,ó,1
świst,a,1
świst,u,1
nowa,n,1
nowa,ż,1
osn,o,1
osn,k,1
osn,a,1
stawi,e,1
śrub,k,1
śrub,ka,1
ub,a,1
ub,r,1
ub,szy,1
ub,y,1
ub,ó,1
uba,w,1
traw,ni,1
men,a,1
men,o,1
men,d,1
mist,a,1
mist,r,1
mist,k,1
aro,k,1
aro,s,1
aro,b,1
aro,n,1
rog,a,1
rog,ó,1
ogan,c,1
kaw,s,1
cza,ka,1
cza,i,1
cza,p,1
cza,ra,1
morf,i,1
mor,s,1
mor,ystyczny,1
omo,r,1
omo,ni,1
omo,s,1
omo,c,1
omo,f,1
morfi,z,1
eksp,e,1
ks,j,1
ks,ofon,1
ks,i,1
ks,t,1
ks,yk,1
eks,u,1
eks,t,1
ment,o,1
ment,a,1
czes,k,1
czes,a,1
czes,n,1
stn,i,1
zest,n,1
tele,ko,1
tele,k,1
elek,o,1
ele,m,1
ele,n,1
ele,f,1
ele,s,1
terapeut,k,1
ape,ta,1
ape,t,1
terap,i,1
B,askij,1
B,ask,1
B,aski,1
askij,k,1
askij,s,1
ask,o,1
ask,a,1
aski,j,1
aski,n,1
agno,s,1
agno,l,1
agnosty,k,1
agnosty,c,1
kt,onowy,1
kt,a,1
onia,d,1
ister,k,1
agi,s,1
agi,ą,1
jagód,ka,1
jagód,e,1
zez,anie,1
zez,i,1
zez,n,1
obr,y,1
brz,e,1
brz,a,1
gówno,b,1
bur,z,1
bur,t,1
bur,s,1
bur,u,1
bur,k,1
bur,ż,1
bur,g,1
dyskretn,i,1
dyskretn,y,1
ys,ki,1
ys,ł,1
ys,o,1
ys,tka,1
ys,y,1
ys,i,1
farmaceut,k,1
farmaceut,a,1
arma,t,1
arma,n,1
arma,z,1
mac,h,1
mac,j,1
mac,z,1
mac,k,1
farma,z,1
zko,d,1
zko,c,1
zko,t,1
zko,w,1
szkod,n,1
szkod,o,1
mowa,n,1
osz,ar,1
osz,p,1
osz,c,1
osz,y,1
osz,t,1
zus,t,1
szew,c,1
zew,c,1
zew,k,1
czni,c,1
śli,m,1
śli,n,1
lim,a,1
lim,u,1
lim,p,1
najl,e,1
najl,ż,1
wr,o,1
wr,a,1
wro,g,1
wód,?,1
nagr,a,1
nagr,o,1
ól,n,1
bó,stwo,1
bó,s,1
zł,u,1
jedwabn,y,1
jedwabn,i,1
jed,y,1
dwa,b,1
szka,ć,1
zabaw,a,1
zabaw,n,1
baw,a,1
baw,i,1
baw,n,1
mat,k,1
mat,r,1
mat,e,1
rad,ny,1
rad,n,1
ocze,ka,1
ocze,w,1
czerwon,k,1
czerw,i,1
yfikat,er,1
erz,y,1
erz,a,1
erz,ę,1
fi,cja,1
fi,ka,1
fi,czny,1
fi,towy,1
fi,g,1
ienie,c,1
chi,ń,1
chi,r,1
chi,cz,1
chi,p,1
chi,z,1
gwałci,c,1
gwałci,ć,1
wał,o,1
wał,t,1
usz,t,1
usz,o,1
mon,t,1
mon,e,1
mon,s,1
próżni,a,1
próżni,ć,1
róż,y,1
telefon,i,1
fon,s,1
mechani,c,1
mechani,z,1
D,unka,1
D,uńczyk,1
un,ka,1
un,e,1
uni,t,1
potwierdz,a,1
potwierdz,i,1
twierdz,a,1
potw,ó,1
potw,a,1
ort,y,1
ort,r,1
ort,a,1
strz,ę,1
strz,ą,1
emię,ź,1
rzem,y,1
rzem,k,1
rzem,a,1
rzemi,ę,1
rzemi,o,1
mię,s,1
mię,d,1
mię,c,1
mię,ć,1
piękn,i,1
piękn,o,1
piękn,y,1
pac,z,1
poli,tyczny,1
poli,cz,1
poli,te,1
poli,s,1
parafia,n,1
afian,i,1
par,n,1
par,ować,1
par,ka,1
par,as,1
par,l,1
par,z,1
par,zy,1
usu,n,1
eta,r,1
alet,a,1
wyb,i,1
wyb,u,1
wyb,rać,1
wybie,r,1
wybie,g,1
abi,ać,1
abi,k,1
abi,j,1
abi,l,1
abi,ć,1
abi,n,1
abi,s,1
abi,t,1
rabia,ć,1
rabi,n,1
rabi,ć,1
zar,a,1
zar,y,1
zar,e,1
zar,uch,1
żow,a,1
żo,w,1
aza,r,1
pu,e,1
pu,b,1
pu,t,1
pu,z,1
śmie,s,1
sur,o,1
sur,ie,1
eg,ze,1
eg,u,1
eg,oni,1
eg,ó,1
eg,ł,1
zon,e,1
astronaut,a,1
astronaut,k,1
ona,t,1
ona,l,1
ona,n,1
ona,r,1
astron,a,1
ron,a,1
ron,n,1
ron,ny,1
uta,s,1
uta,l,1
przeczyta,n,1
niep,rz,1
niep,rze,1
niep,a,1
przec,z,1
bad,ł,1
praw,na,1
kurcz,ę,1
kur,k,1
kur,ka,1
sku,r,1
sku,t,1
sku,s,1
pal,e,1
pal,nia,1
pal,owy,1
pal,o,1
lec,h,1
obi,n,1
obi,s,1
czyni,e,1
order,c,1
krzyż,y,1
krzyż,m,1
zio,m,1
jęt,o,1
jęt,ość,1
czw,a,1
czw,ó,1
zwa,r,1
zwa,l,1
pocz,w,1
pocz,ę,1
pocz,t,1
poc,z,1
ros,k,1
ros,ł,1
ros,e,1
ros,t,1
ros,ka,1
ros,zka,1
ros,z,1
zk,ł,1
zk,s,1
zk,o,1
liga,c,1
liga,t,1
liga,m,1
bli,g,1
bli,s,1
bli,j,1
rm,ator,1
rm,i,1
rm,e,1
refo,r,1
strze,c,1
strze,nny,1
strze,ż,1
strze,nie,1
ganie,c,1
ostrzega,n,1
egan,i,1
cał,u,1
cał,o,1
jodłow,a,1
jodłow,y,1
znacz,e,1
prawnu,c,1
prawnu,k,1
prawn,a,1
pra,wnik,1
pra,ć,1
pra,k,1
pra,b,1
pra,wn,1
pra,ł,1
pra,l,1
przymiotnik,o,1
rzes,za,1
rzes,e,1
przes,ł,1
przes,ad,1
przes,adzać,1
rzał,y,1
ke,n,1
wic,k,1
wic,h,1
zwrot,n,1
wio,r,1
wio,s,1
io,ła,1
io,ta,1
io,b,1
io,o,1
rs,j,1
rs,a,1
rs,e,1
rst,a,1
rst,w,1
pł,u,1
pł,a,1
pły,t,1
pły,w,1
plansz,a,1
plansz,ó,1
lans,o,1
pla,z,1
eki,e,1
podusz,e,1
podusz,ka,1
dusz,e,1
dusz,a,1
dusz,k,1
want,u,1
serwa,n,1
erwan,t,1
zegar,m,1
zegar,e,1
egar,m,1
egar,e,1
apa,m,1
adza,ć,1
ene,w,1
ene,r,1
kola,d,1
kol,ą,1
pą,c,1
pą,t,1
obie,c,1
obie,k,1
obiet,n,1
drze,c,1
drze,m,1
głup,o,1
głup,ta,1
pot,ę,1
pot,o,1
pot,wa,1
lub,n,1
lub,e,1
lub,r,1
cis,o,1
cis,t,1
szabl,a,1
szabl,o,1
sadza,ć,1
adzać,?,1
liczn,y,1
olicz,n,1
leg,m,1
leg,i,1
leg,r,1
leg,a,1
ran,d,1
ran,e,1
wizyt,ó,1
wizyt,a,1
izy,k,1
tów,k,1
delik,w,1
delik,a,1
del,i,1
del,f,1
zie,t,1
zie,s,1
zie,ń,1
zie,r,1
łod,szy,1
łod,n,1
paty,n,1
paty,k,1
bile,r,1
ler,z,1
lan,y,1
lan,ować,1
lan,e,1
ęg,l,1
ęg,i,1
ęg,n,1
ów,czesny,1
ów,c,1
ów,k,1
rąba,ć,1
tru,k,1
tru,na,1
tru,f,1
tru,ć,1
tru,d,1
uka,n,1
uka,ń,1
uka,s,1
szuk,ać,1
tuka,n,1
kan,iczny,1
kan,aliz,1
kan,g,1
psycholo,g,1
psycholo,ż,1
wię,d,1
wię,k,1
zbiera,n,1
bier,ni,1
pul,s,1
brą,c,1
brą,z,1
żerd,ź,1
żerd,k,1
wiel,b,1
wiel,oś,1
lig,r,1
lig,a,1
lig,u,1
lig,i,1
igra,m,1
igr,a,1
los,z,1
mądrz,y,1
się,b,1
intymn,i,1
intymn,y,1
niez,w,1
racz,k,1
brzoz,o,1
brzoz,a,1
ied,ź,1
przed,w,1
przed,sta,1
przed,ni,1
P,ortugal,1
P,anoram,1
P,ołudniow,1
P,ołudni,1
przeczy,t,1
przeczy,ć,1
yś,l,1
łote,w,1
łote,k,1
ote,w,1
ote,czny,1
ote,kowy,1
dziec,k,1
dziec,i,1
ec,y,1
ec,jalny,1
ec,j,1
rzesz,o,1
rzesz,n,1
rzesz,k,1
szo,n,1
łak,n,1
zęst,s,1
podróż,o,1
podróż,y,1
podr,ó,1
podr,y,1
jem,c,1
porozmawia,ć,1
porozmawia,n,1
ołów,k,1
ołów,e,1
mysz,o,1
drad,a,1
drad,z,1
au,matyczny,1
au,l,1
au,f,1
au,tolog,1
auk,a,1
auk,c,1
ciężar,n,1
żar,n,1
cięż,a,1
cięż,k,1
ars,z,1
rzeb,i,1
rzeb,ać,1
rzeb,n,1
zeb,i,1
zeb,r,1
fe,mi,1
znaj,d,1
iom,e,1
doprowadza,ć,1
doprowadza,n,1
oprowadz,i,1
A,tarynka,1
A,ngiel,1
ańczy,k,1
yle,w,1
yle,c,1
architekt,o,1
ekt,y,1
ekt,onik,1
ast,y,1
ast,e,1
ast,rz,1
taj,f,1
taj,n,1
taj,s,1
mia,d,1
mia,r,1
mia,u,1
najakt,y,1
najakt,u,1
knia,ź,1
pach,a,1
pach,n,1
zap,ac,1
zap,r,1
zap,e,1
ach,c,1
ach,u,1
ach,a,1
ach,i,1
ach,ar,1
neczka,r,1
ecz,ę,1
ecz,n,1
ecz,ka,1
ecz,a,1
bomb,a,1
bomb,k,1
omba,t,1
komputer,o,1
uter,e,1
uter,o,1
jon,ować,1
ono,s,1
ono,ś,1
ono,r,1
ono,c,1
ono,p,1
poet,k,1
poet,a,1
seler,o,1
wór,k,1
twór,c,1
szer,s,1
szer,o,1
szer,n,1
zersz,e,1
zersz,y,1
ieśni,n,1
ieśni,a,1
śni,n,1
śni,ć,1
śni,k,1
śni,ą,1
arn,u,1
arn,e,1
czar,z,1
czar,d,1
czarnu,s,1
pracowni,a,1
ownik,o,1
che,r,1
che,ć,1
wich,e,1
wich,u,1
he,n,1
he,a,1
he,d,1
he,e,1
he,b,1
przeci,ą,1
przeciw,s,1
stre,s,1
stre,f,1
tre,s,1
tre,t,1
tre,o,1
znajom,o,1
znajom,a,1
znajom,i,1
lepto,m,1
ania,ł,1
ania,c,1
oman,i,1
oman,k,1
oman,t,1
osob,o,1
osob,a,1
osob,i,1
sobow,y,1
sobow,t,1
ciąg,a,1
ciąg,ł,1
ciąg,n,1
rur,o,1
uroc,i,1
odra,d,1
radz,a,1
ina,n,1
ina,l,1
wąs,k,1
wą,ż,1
aria,s,1
aria,t,1
aria,ń,1
anin,o,1
weg,e,1
krwaw,i,1
krwaw,n,1
eo,r,1
eo,b,1
lega,n,1
myśl,n,1
przemy,ś,1
przemy,t,1
dyktat,o,1
dyktat,u,1
tato,r,1
iar,s,1
iar,k,1
ymn,i,1
dym,a,1
dym,i,1
budownic,t,1
budownic,z,1
ryt,y,1
ryt,a,1
ri,a,1
ri,u,1
ri,o,1
ri,e,1
sto,c,1
sto,i,1
sto,m,1
sto,j,1
sto,n,1
sto,ń,1
stol,a,1
stol,o,1
stol,e,1
lat,k,1
lat,ka,1
nastol,a,1
nastol,e,1
bluz,ka,1
ięt,o,1
ięt,r,1
ięt,y,1
sąd,n,1
sąd,z,1
sług,u,1
sług,a,1
sług,i,1
ołó,w,1
ołó,d,1
elektry,c,1
elektry,k,1
grz,bie,1
grz,ę,1
zdementowa,ć,1
zdementowa,n,1
uderz,y,1
uderz,a,1
jajeczn,y,1
jajeczn,i,1
jaj,n,1
jaj,c,1
obal,i,1
obal,a,1
obal,t,1
oba,b,1
oba,r,1
oba,ć,1
oba,k,1
mit,y,1
mit,o,1
oń,s,1
oń,c,1
słuchawk,a,1
słuchawk,i,1
sł,ó,1
wó,dź,1
gu,ł,1
gu,a,1
gu,t,1
uł,ka,1
uł,k,1
uł,b,1
uł,m,1
pig,u,1
be,z,1
be,d,1
be,zk,1
be,g,1
be,t,1
be,s,1
be,j,1
mul,owanie,1
mul,ować,1
symulowa,n,1
symulowa,ć,1
bit,n,1
bit,w,1
ambitn,y,1
ambitn,i,1
twa,r,1
młod,a,1
łodzi,w,1
łodzi,e,1
iwo,b,1
iwo,ś,1
ska,w,1
ska,k,1
ska,d,1
podpa,s,1
odo,b,1
odo,m,1
odo,l,1
odo,o,1
zb,yć,1
zb,u,1
zb,l,1
zb,e,1
rda,c,1
baton,i,1
aniec,h,1
nanie,c,1
ęcz,y,1
cyt,o,1
cyt,a,1
naturaln,i,1
naturaln,y,1
dziu,ś,1
idzi,u,1
ewn,o,1
dry,wać,1
ped,r,1
ped,a,1
ped,i,1
ped,o,1
ped,y,1
ped,e,1
pali,ć,1
pali,n,1
rzmie,l,1
rzmie,ć,1
szuka,ń,1
kanie,c,1
ukan,i,1
zabi,j,1
zabi,ć,1
zab,ó,1
podn,i,1
podn,o,1
oi,s,1
oi,k,1
zm,ar,1
zm,ę,1
jo,d,1
jo,l,1
jo,g,1
jo,y,1
mamu,s,1
mamu,t,1
mu,t,1
bagaż,n,1
bag,n,1
bag,i,1
ęt,k,1
ęt,r,1
ęt,l,1
opał,e,1
nied,o,1
nied,ź,1
pał,e,1
pał,k,1
K,ataloń,1
K,opt,1
K,ana,1
ńczy,ć,1
ataloń,c,1
talo,ń,1
narciar,z,1
narciar,s,1
narc,ia,1
lcz,u,1
lcz,ący,1
najostr,z,1
najostr,o,1
uks,j,1
owe,k,1
iat,y,1
wiat,y,1
wiat,u,1
szaba,s,1
szaba,t,1
bas,e,1
zaba,s,1
zaba,l,1
pad,e,1
drog,a,1
drog,i,1
zapa,m,1
ięta,ć,1
łos,z,1
łos,ka,1
dłu,g,1
osy,s,1
cio,s,1
cio,k,1
cio,m,1
cio,t,1
cio,b,1
cio,w,1
cio,ł,1
ios,ł,1
ic,i,1
ic,zy,1
ic,er,1
icz,ny,1
koni,c,1
biał,y,1
siedz,ie,1
siedz,i,1
są,g,1
ąs,i,1
atrakcyjn,y,1
war,ancja,1
wart,e,1
wart,a,1
wart,y,1
sp,rag,1
sp,ek,1
sp,ec,1
sp,ie,1
sp,u,1
pół,c,1
aja,c,1
aja,ć,1
aja,w,1
rado,k,1
arad,o,1
sterk,o,1
obiec,ać,1
obiec,y,1
ciąża,ć,1
obc,i,1
obc,z,1
stró,ż,1
ajn,i,1
iew,o,1
iew,i,1
iew,ca,1
iew,k,1
iew,nik,1
krzyk,?,1
krzyk,n,1
zyk,?,1
zyk,ł,1
tań,c,1
azot,o,1
azot,a,1
kontynent,a,1
zmyśl,a,1
zmyśl,i,1
śl,ą,1
ryk,i,1
ryk,t,1
imb,u,1
bry,t,1
kopa,c,1
kopa,ć,1
kopa,r,1
kopa,l,1
pacz,a,1
opa,ć,1
opa,k,1
liczba p,i,1
liczba p,r,1
pierwsz,a,1
rw,s,1
rw,i,1
rw,y,1
świa,t,1
wia,z,1
wia,ć,1
wia,r,1
dio,a,1
dio,f,1
stro,ł,1
radioa,s,1
di,s,1
oty,g,1
oty,ł,1
oty,s,1
oty,c,1
głośn,i,1
łośnik,o,1
szp,ak,1
śmiec,o,1
przedw,c,1
przedw,o,1
bel,ka,1
bel,k,1
bel,s,1
bel,sk,1
bel,ski,1
bel,e,1
lab,e,1
lab,a,1
lab,i,1
hiper,b,1
hiper,o,1
erb,i,1
erb,a,1
gar,ek,1
gar,e,1
gar,y,1
odda,ć,1
odda,w,1
odd,ać,1
odd,e,1
zdr,z,1
poczeka,l,1
eka,l,1
zyn,i,1
zyn,a,1
awr,z,1
cukr,z,1
ukr,z,1
ukr,y,1
ukr,o,1
ukr,a,1
przyja,ć,1
alek,t,1
alek,i,1
dia,t,1
dia,n,1
artykuł,a,1
arty,s,1
ors,a,1
ors,k,1
szar,y,1
szar,i,1
szar,l,1
szara,ń,1
lic,y,1
lic,zy,1
lic,a,1
lic,j,1
ękać,?,1
pala,t,1
tali,z,1
tali,s,1
lata,l,1
biur,w,1
łza,ć,1
żyw,a,1
żyw,i,1
żyw,y,1
żyw,c,1
uży,w,1
uży,c,1
sprz,e,1
sprz,ę,1
atrak,c,1
rat,an,1
rat,y,1
cyn,k,1
cyn,i,1
cyn,o,1
cyn,a,1
warun,k,1
hydrauli,c,1
hydrauli,k,1
dwu,s,1
dwu,t,1
dwu,na,1
najpo,w,1
najpo,p,1
najpo,d,1
gan,e,1
gan,o,1
gan,k,1
gan,a,1
isto,l,1
paj,ę,1
paj,ą,1
złoż,e,1
złoż,o,1
złoż,y,1
zło,t,1
zło,d,1
zło,w,1
M,uran,1
M,ace,1
sjan,i,1
Ma,r,1
amper,o,1
amp,i,1
mier,zi,1
mier,c,1
mier,t,1
omi,n,1
omi,s,1
odlew,a,1
blog,e,1
blo,k,1
odkry,w,1
kry,c,1
kry,z,1
orn,e,1
orn,i,1
orn,o,1
orn,a,1
net,k,1
kro,k,1
kro,s,1
kro,i,1
krop,i,1
krop,ka,1
krop,n,1
opi,d,1
opi,ó,1
opi,s,1
opi,k,1
nobr,ą,1
brązow,a,1
jasno,b,1
jasno,s,1
jasno,ż,1
spala,t,1
ala,t,1
ala,b,1
wyż,ą,1
żą,ć,1
żu,b,1
żu,m,1
żu,j,1
szkie,t,1
szkie,l,1
kró,c,1
rodzin,a,1
rodzi,e,1
mówić,?,1
ogrod,z,1
ogrod,ni,1
kaja,k,1
kaja,ć,1
kaj,a,1
dos,r,1
dos,t,1
dos,k,1
sić,?,1
zot,yczn,1
zot,o,1
yczn,i,1
otyczn,i,1
pli,k,1
kla,t,1
edy,s,1
edy,cja,1
edy,ny,1
red,y,1
red,n,1
łę,ź,1
łę,d,1
rasist,k,1
rasist,a,1
asist,o,1
ras,i,1
ras,z,1
biera,n,1
iera,l,1
iera,d,1
lej,o,1
lej,n,1
dyskotek,a,1
dyskotek,o,1
dysk,o,1
dysk,i,1
dysk,r,1
ierz,b,1
ierz,y,1
ierz,ę,1
ierz,ić,1
wycie,czk,1
czk,o,1
czk,i,1
zmien,n,1
zmien,i,1
yw,ka,1
yw,ać,1
rn,u,1
rn,y,1
rn,ą,1
rn,o,1
trój,w,1
kokos,o,1
kos,o,1
kos,ar,1
pó,l,1
pó,ź,1
kona,r,1
dokona,ć,1
dok,o,1
dok,t,1
dok,ł,1
dok,wi,1
oko,d,1
oko,m,1
okonan,y,1
okonan,i,1
rna,k,1
rna,t,1
ern,i,1
ern,y,1
maszyn,i,1
maszyn,is,1
maszyn,a,1
opis,y,1
opis,m,1
zapomina,ć,1
zapomina,j,1
zapomina,n,1
zapom,nie,1
mina,ć,1
mina,j,1
mina,n,1
mina,r,1
brzoskwin,k,1
brzoskwin,i,1
osk,o,1
osk,ł,1
osk,a,1
kwin,k,1
kwin,i,1
dokładn,i,1
rozważ,y,1
rozważ,a,1
waż,k,1
waż,n,1
gli,c,1
gli,s,1
gli,na,1
firma,?,1
firma,c,1
rma,?,1
rma,c,1
rma,z,1
pieprz,y,1
pieprz,a,1
zak,ł,1
zak,a,1
zak,r,1
zak,o,1
zakłada,ć,1
zakłada,n,1
kła,ś,1
okr,z,1
okr,e,1
jaw,o,1
tro,s,1
tro,ż,1
tro,b,1
tro,ł,1
tro,l,1
utro,n,1
skarpet,k,1
skarpet,a,1
fermion,o,1
mio,k,1
mio,ła,1
mio,ł,1
mio,d,1
bezpieczn,i,1
bezpieczn,ie,1
okładn,o,1
dż,ó,1
dż,owy,1
dż,e,1
dż,o,1
dż,u,1
drożdż,ó,1
drożdż,o,1
dro,g,1
dro,z,1
obraz,i,1
nale,w,1
nale,ż,1
żn,y,1
żn,a,1
ion,a,1
ion,e,1
ale,g,1
ale,n,1
ale,c,1
zależn,i,1
iP,o,1
iP,h,1
kle,i,1
kle,o,1
skle,p,1
skle,j,1
otwar,t,1
otwar,z,1
śwież,y,1
nak,r,1
romo,s,1
romo,f,1
mos,o,1
mos,e,1
mos,t,1
mos,ek,1
kara,l,1
kara,w,1
kara,m,1
kara,b,1
minimal,i,1
minimal,ny,1
edn,i,1
edn,y,1
lwi,n,1
lwi,c,1
najm,niejszy,1
przytul,i,1
przytuln,y,1
przytuln,i,1
ziel,a,1
magne,t,1
agn,o,1
agn,i,1
mag,i,1
najpły,t,1
najpły,n,1
chwi,a,1
wil,ó,1
wil,e,1
wil,o,1
samo,ś,1
samo,tny,1
samo,u,1
amol,o,1
kostn,i,1
kostn,a,1
tni,c,1
tni,a,1
sty,c,1
sty,t,1
sty,f,1
last,y,1
kana,ł,1
nar,e,1
nar,ó,1
nar,c,1
leca,ć,1
leca,k,1
leca,n,1
pole,w,1
trak,c,1
delikatn,y,1
delikatn,i,1
kat,n,1
kat,e,1
kat,o,1
kat,u,1
rem,e,1
apt,u,1
apt,e,1
tur,b,1
unika,t,1
unika,c,1
im,m,1
im,ono,1
im,f,1
im,ować,1
im,i,1
im,a,1
iw,c,1
iw,y,1
iw,ać,1
iw,o,1
ciał,o,1
alm,o,1
dese,ń,1
dese,r,1
ubi,d,1
ubi,o,1
rub,i,1
meta,fi,1
meta,f,1
meta,m,1
mulczowa,n,1
mulczowa,ć,1
upraw,i,1
upraw,a,1
awia,l,1
prawi,d,1
esemes,o,1
sowa,n,1
książ,ę,1
książ,k,1
iąż,ę,1
nieo,m,1
nieo,f,1
dmie,n,1
uf,ny,1
uf,e,1
eli,sa,1
eli,p,1
isa,c,1
lis,k,1
zara,ź,1
zara,wy,1
orsz,y,1
powó,z,1
powó,d,1
rzyg,a,1
przygo,d,1
oszuka,ń,1
oszuk,a,1
oszuk,ać,1
oszuk,i,1
ił,y,1
ił,o,1
ił,e,1
ił,a,1
bawić,?,1
żałowa,ć,1
żałowa,n,1
zdrow,e,1
zdrow,s,1
płu,c,1
płu,g,1
ocha,n,1
ocha,ć,1
och,a,1
iem,y,1
iem,a,1
iem,n,1
nic,h,1
nic,u,1
nic,e,1
mnic,h,1
mnic,a,1
ich,y,1
ich,l,1
ich,s,1
ich,o,1
siw,y,1
siw,e,1
epo,r,1
por,ó,1
por,c,1
orta,ż,1
rozwi,ą,1
rozwijać,?,1
eda,g,1
oski,t,1
trosk,i,1
atr,a,1
atr,y,1
edia,t,1
iatr,a,1
pin,i,1
szpinak,o,1
szpi,n,1
wal,k,1
wal,t,1
wal,n,1
wal,i,1
towarzys,t,1
zysk,i,1
szczer,zy,1
czer,szy,1
czer,s,1
czer,b,1
czer,y,1
łat,a,1
łat,k,1
łat,w,1
udo,ż,1
udow,y,1
udow,n,1
cyrk,o,1
yrko,w,1
urt,a,1
urt,o,1
wnucz,e,1
wnucz,ę,1
nu,c,1
nu,t,1
przyn,i,1
przyn,o,1
zyni,e,1
ekwilibryst,y,1
ekwilibryst,a,1
ryst,y,1
lib,ry,1
lib,e,1
kwili,b,1
has,ł,1
śmieszn,i,1
śmieszn,y,1
ez,o,1
ez,b,1
ez,a,1
ez,s,1
stal,o,1
stal,a,1
stal,n,1
parow,ó,1
tyc,j,1
łoż,o,1
zoł,o,1
zoł,g,1
zoł,z,1
cud,z,1
cud,o,1
cud,n,1
ogląda,n,1
ogląda,ć,1
wschod,z,1
sko,r,1
sko,p,1
roż,ny,1
roż,y,1
roż,e,1
ostro,ż,1
ostro,s,1
obro,w,1
obro,k,1
dobr,y,1
dob,ó,1
dob,a,1
tn,i,1
bawi,c,1
cytryn,a,1
cytryn,k,1
ryna,r,1
rzech,a,1
czarowni,k,1
tyczn,i,1
tyczn,o,1
olon,i,1
olon,k,1
rządz,e,1
ądz,e,1
aster,z,1
nda,t,1
ybi,s,1
yb,n,1
yb,k,1
yb,o,1
yb,a,1
śpi,ć,1
śpi,e,1
śpi,o,1
poku,t,1
poku,s,1
kuta,s,1
oku,ta,1
oku,s,1
gał,ka,1
gałą,z,1
gałą,ź,1
śmieciar,z,1
śmieciar,k,1
kserowa,n,1
rowa,n,1
gaz,o,1
gaz,m,1
oświ,ę,1
oświ,e,1
widz,e,1
pok,o,1
pok,ó,1
pokona,ć,1
pokona,n,1
gani,c,1
rator,i,1
wik,i,1
dziewi,c,1
dziew,czy,1
dziew,k,1
pokaz,ać,1
pokaz,y,1
okaz,ać,1
okaz,y,1
szczeci,ń,1
rych,a,1
pesymist,a,1
pesymist,k,1
ym,?,1
ym,e,1
ym,ó,1
ym,c,1
ym,u,1
rodzaj,n,1
rod,u,1
ręka,w,1
zeni,e,1
scho,r,1
rzenie,c,1
sch,o,1
sch,l,1
eni,wy,1
eni,ę,1
eni,k,1
eni,w,1
eni,wi,1
eni,s,1
eni,ec,1
łąka,n,1
obł,ą,1
obł,y,1
obł,ę,1
trusk,a,1
nacz,ni,1
gotow,y,1
szam,an,1
szam,a,1
szamp,a,1
szamp,o,1
pan, młod,1
pan,t,1
pan,k,1
pan,y,1
pan,d,1
kra,t,1
kra,d,1
kra,w,1
krak,u,1
inia,r,1
eku,l,1
hokej,ó,1
hokej,o,1
ej,o,1
ej,c,1
ej,d,1
ej,s,1
ej,t,1
gr,ec,1
gr,ą,1
gr,es,1
gr,aniczny,1
gr,zy,1
gr,zec,1
gre,c,1
gre,j,1
gre,n,1
trójk,ą,1
trójk,a,1
jk,ą,1
jk,a,1
radyc,y,1
yj,ą,1
yj,e,1
ąc,h,1
ąc,y,1
cet,o,1
dola,r,1
olar,z,1
dyna,m,1
iazdk,a,1
iazdk,o,1
gale,r,1
gale,o,1
zec,i,1
iedz,i,1
iedz,e,1
dziedzi,n,1
chom,y,1
blok,a,1
rac,z,1
rac,a,1
rac,ać,1
teatr,a,1
zop,a,1
krza,t,1
zat,o,1
rza,t,1
noż,ó,1
asn,o,1
dwor,z,1
rta,ń,1
ań,s,1
ten,d,1
ten,er,1
ten,t,1
ten,i,1
tens,y,1
ódz,k,1
pozyto,r,1
J,aponka,1
J,ehowy,1
Japo,ń,1
ema,tyczny,1
ema,tyka,1
matematy,c,1
matematy,k,1
seminar,y,1
pojawi,a,1
pojawi,ć się,1
jawi,a,1
jawi,ć się,1
sen,?,1
sen,c,1
sen,n,1
łap,k,1
łap,ka,1
łap,ó,1
ang,o,1
ang,a,1
gust,r,1
usta,k,1
usta,w,1
septy,k,1
antyse,p,1
antyse,m,1
so,r,1
so,k,1
so,n,1
so,ń,1
so,ł,1
so,na,1
part,n,1
ant,i,1
ant,ro,1
ant,u,1
ant,en,1
